ID,Player,Alignment,Faction Outcome,First Hit,Last Hit,# of Hits,"Death/
 Survival",Inactive,GM,Mod,Spec,Game Type,Game #,,Broken,Role,,,,,,,,
30,dyring,G,L,6,6,1,E,,,,,LG,2,LG2,,Protect,,,MR24,0,0,1,1,
31,Quiver,B,W,,,0,S,,,,,LG,2,LG2,,Regular,,,LG38,0,0,1,1,
32,little wilson,B,W,,,0,S,,,,,LG,2,LG2,,Kill,,,LG40,0,0,6,13,
33,loganmathewjohnson,G,L,1,1,1,E,,,,,LG,2,LG2,,Regular,,,LG41,0,0,1,1,
34,Grayv,G,L,9,9,1,E,,,,,LG,2,LG2,,Vote Change,,,LG43,0,0,2,1,
35,Peng,G,L,5,7,3,E,,,,,LG,2,LG2,,Jack of All Trades,,,MR28,0,0,7,7,
36,PorridgeBrick,G,L,7,7,1,E,,,,,LG,2,LG2,,Cop,,,LG44,0,0,0,1,
37,Windy,G,L,11,,1,S,,,,,LG,2,LG2,,Double Life,,,QF31,0,0,9,8,
38,Weiry,G,L,1,1,1,E,,,,,LG,2,LG2,,Protect,,,LG45,0,0,22,22,
39,Wes,G,L,1,1,1,E,,,,,LG,2,LG2,,Kill,,,QF33.1,0,0,19,19,
40,Swimmingly,G,L,2,2,1,L,,,,,LG,2,LG2,,Kill,,,QF33.2,0,0,19,19,
41,Alvron,G,L,11,11,1,E,,,,,LG,2,LG2,,Smoker,,,QF34,0,0,0,1,
42,Serendipity/Scriptorian,G,L,1,11,2,E,,,,,LG,2,LG2,,Double Life,,,MR32,0,0,1,1,
43,Aonar,B,W,1,1,1,V,,,,,LG,2,LG2,,Regular,,,QF35,0,0,0,1,
44,RainbowRose/Cessie,E,W,4,7,3,L,,,,,LG,2,LG2,,Conversion,,,LG53,0,0,10,12,
45,Herowannabe,G,L,8,8,1,E,,,,,LG,2,LG2,,Tineye,,,LG54,0,0,1,0,
46,RobotAztec,G,L,9,9,1,L,,,,,LG,2,LG2,,Regular,,,MR41,0,14,6,6,
47,Shiv,G,L,5,5,1,L,,,,,LG,2,LG2,,Protect,,,MR42,0,0,4,0,
48,Leonardus,G,L,1,1,1,F,,,,,LG,2,LG2,,Regular,,,LG66,0,0,23,23,
49,Luckat,G,L,3,3,1,E,,,,,LG,2,LG2,,Cop,,,,,,,,
50,Aspren,G,L,8,8,1,L,,,,,LG,2,LG2,,Smoker,,,,,,,,
51,A Joe in the Bush,,,,,,,,,,Y,LG,2,LG2,,Spec,,,,,,,,
52,Dalinar,,,,,,,,,,Y,LG,2,LG2,,Spec,,,,,,,,
53,Meta,G,W,,,0,S,,,,,LG,3,LG3,Y,Kill,,,,,,,,
54,Edgedancer,G,W,7,,1,S,,,,,LG,3,LG3,Y,Double Life,,,,,,,,
55,Mailliw73,G,W,,,0,S,,,,,LG,3,LG3,Y,Tineye,,,,,,,,
56,Claincy,E,L,5,5,1,L,,,,,LG,3,LG3,Y,Tineye,,,,,,,,
57,Gamma,G,W,2,,1,S,,,,,LG,3,LG3,Y,Protect,,,,,,,,
58,bartbug,G,W,3,3,1,E,,,,,LG,3,LG3,Y,Jack of All Trades,,,,,,,,
59,dyring,G,W,1,1,1,E,,,,,LG,3,LG3,Y,Cop,,,,,,,,
60,Quiver,,,,,,,,,,Y,LG,3,LG3,Y,Spec,,,,,,,,
61,little wilson,,,,,,,,,,Y,LG,3,LG3,Y,Spec,,,,,,,,
62,Grayv,G,W,2,7,2,E,,,,,LG,3,LG3,Y,Double Life,,,,,,,,
63,Peng,,,,,,,,Y,,,LG,3,LG3,Y,GM,,,,,,,,
64,PorridgeBrick,G,W,3,3,1,F,,,,,LG,3,LG3,Y,Smoker,,,,,,,,
65,Wes,,,,,,,,,,Y,LG,3,LG3,Y,Spec,,,,,,,,
66,Swimmingly,G,W,,,0,S,,,,,LG,3,LG3,Y,Regular,,,,,,,,
67,Alvron,G,W,5,5,1,F,,,,,LG,3,LG3,Y,Regular,,,,,,,,
68,Serendipity/Scriptorian,E,L,1,1,1,L,,,,,LG,3,LG3,Y,Regular,,,,,,,,
69,Aonar,,,,,,,,,,Y,LG,3,LG3,Y,Spec,,,,,,,,
70,Herowannabe,,,,,,,,,,Y,LG,3,LG3,Y,Spec,,,,,,,,
71,Aspren,E,L,2,2,1,L,,,,,LG,3,LG3,Y,Jack of All Trades,,,,,,,,
72,A Joe in the Bush,E,L,7,7,1,L,,,,,LG,3,LG3,Y,Vote Cancel,,,,,,,,
73,elwarko,G,W,6,6,1,L,,,,,LG,3,LG3,Y,Regular,,,,,,,,
74,SirVarrock,G,W,,,0,S,,,,,LG,3,LG3,Y,Smoker,,,,,,,,
75,18thShard,G,W,3,3,1,L,,,,,LG,3,LG3,Y,Vote Manip,,,,,,,,
76,Macen,G,W,4,4,1,L,,,,,LG,3,LG3,Y,Regular,,,,,,,,
77,Dalinar,E,L,4,4,1,V,,,,,LG,3,LG3,Y,Cop,,,,,,,,
78,Gleeman,G,W,6,6,1,F,,,,,LG,3,LG3,Y,Vote Change,,,,,,,,
79,Lanscaper,G,W,,,0,S,,,,,LG,3,LG3,Y,Regular,,,,,,,,
80,Chid/Newan,G,W,4,,3,S,,,,,LG,3,LG3,Y,Cop,,,,,,,,
81,Meta,G,W,6,6,1,F,,,,,LG,4,LG4,Y,Regular,,,,,,,,
82,Edgedancer,G,W,7,7,1,F,,,,,LG,4,LG4,Y,Regular,,,,,,,,
83,Mailliw73,G,W,3,,1,S,,,,,LG,4,LG4,Y,Sacrifice,,,,,,,,
84,Claincy,,,,,,,,Y,,,LG,4,LG4,Y,GM,,,,,,,,
85,Gamma,G,W,7,7,1,F,,,,,LG,4,LG4,Y,Regular,,,,,,,,
86,bartbug,G,W,,,0,S,,,,,LG,4,LG4,Y,Regular,,,,,,,,
87,dyring,G,W,3,3,1,L,,,,,LG,4,LG4,Y,Regular,,,,,,,,
88,Quiver,G,W,8,8,1,L,,,,,LG,4,LG4,Y,Regular,,,,,,,,
89,little wilson,E,L,9,9,1,L,,,,,LG,4,LG4,Y,Regular,,,,,,,,
90,Peng,E,L,4,4,1,V,,,,,LG,4,LG4,Y,Regular,,,,,,,,
91,PorridgeBrick,G,W,,,0,S,,,,,LG,4,LG4,Y,Regular,,,,,,,,
92,Wes,G,W,8,8,1,E,,,,,LG,4,LG4,Y,Regular,,,,,,,,
93,Swimmingly,G,W,2,2,1,L,,,,,LG,4,LG4,Y,Regular,,,,,,,,
94,Alvron,G,W,2,2,1,E,,,,,LG,4,LG4,Y,Regular,,,,,,,,
95,Aonar,G,W,8,8,1,F,,,,,LG,4,LG4,Y,Lynch Protect,,,,,,,,
96,Herowannabe,G,W,,,0,S,,,,,LG,4,LG4,Y,Regular,,,,,,,,
97,Aspren,E,L,5,5,1,V,,,,,LG,4,LG4,Y,Regular,,,,,,,,
98,A Joe in the Bush,E,L,3,3,1,V,,,,,LG,4,LG4,Y,Regular,,,,,,,,
99,elwarko,E,L,5,5,1,L,,,,,LG,4,LG4,Y,Regular,,,,,,,,
100,SirVarrock,G,W,1,1,1,E,,,,,LG,4,LG4,Y,Regular,,,,,,,,
101,18thShard,,,,,,,,,,Y,LG,4,LG4,Y,Spec,,,,,,,,
102,Macen,G,W,,,0,S,,,,,LG,4,LG4,Y,Regular,,,,,,,,
103,Gleeman,G,W,6,6,1,L,,,,,LG,4,LG4,Y,Regular,,,,,,,,
104,Chid/Newan,G,W,,,0,S,,,,,LG,4,LG4,Y,Alignment Cop,,,,,,,,
105,GreyPilgrim,G,W,4,4,1,L,,,,,LG,4,LG4,Y,Regular,,,,,,,,
106,Wyrmhero,G,W,,4,0,N,,,,,LG,4,LG4,Y,Sacrifice,,,,,,,,
107,Nepene,G,W,4,6,2,E,,,,,LG,4,LG4,Y,Bodyguard,,,,,,,,
108,Tulir,E,L,6,6,1,V,,,,,LG,4,LG4,Y,Regular,,,,,,,,
109,Sart,G,W,7,7,1,L,,,,,LG,4,LG4,Y,Regular,,,,,,,,
110,Adolin Dustbringer,G,W,,,0,S,,,,,LG,4,LG4,Y,Regular,,,,,,,,
111,nard1993,G,W,5,,1,S,,,,,LG,4,LG4,Y,Kill,,,,,,,,
112,Sphinx,G,W,,,0,S,,,,,LG,4,LG4,Y,Lynch Protect,,,,,,,,
113,Meta,,,,,,,,,,Y,QF,1,QF1,,Spec,,,,,,,,
114,Mailliw73,G,L,1,1,1,E,,,,,QF,1,QF1,,Regular,,,,,,,,
115,Claincy,E,W,,,0,S,,,,,QF,1,QF1,,Regular,,,,,,,,
116,Gamma,G,L,2,2,1,E,,,,,QF,1,QF1,,Regular,,,,,,,,
117,little wilson,,,,,,,,,,Y,QF,1,QF1,,Spec,,,,,,,,
118,Peng,,,,,,,,,,Y,QF,1,QF1,,Spec,,,,,,,,
119,Wes,,,,,,,,,,Y,QF,1,QF1,,Spec,,,,,,,,
120,Alvron,E,W,,,0,S,,,,,QF,1,QF1,,Regular,,,,,,,,
121,Aonar,G,L,2,2,1,L,,,,,QF,1,QF1,,Regular,,,,,,,,
122,Luckat,G,L,,,0,S,,,,,QF,1,QF1,,Alignment Cop,,,,,,,,
123,Aspren,G,L,3,3,1,E,,,,,QF,1,QF1,,Regular,,,,,,,,
124,A Joe in the Bush,G,L,1,1,1,L,,,,,QF,1,QF1,,Regular,,,,,,,,
125,elwarko,G,L,,,0,S,,,,,QF,1,QF1,,Regular,,,,,,,,
126,18thShard,,,,,,,,,,Y,QF,1,QF1,,Spec,,,,,,,,
127,Macen,,,,,,,,,,Y,QF,1,QF1,,Spec,,,,,,,,
128,Gleeman,,,,,,,,,,Y,QF,1,QF1,,Spec,,,,,,,,
129,GreyPilgrim,E,W,,,0,S,,,,,QF,1,QF1,,Regular,,,,,,,,
130,Wyrmhero,,,,,,,,,,Y,QF,1,QF1,,Spec,,,,,,,,
131,Nepene,G,L,3,3,1,L,,,,,QF,1,QF1,,Regular,,,,,,,,
132,Tulir,,,,,,,,,,Y,QF,1,QF1,,Spec,,,,,,,,
133,Sart,,,,,,,,,,Y,QF,1,QF1,,Spec,,,,,,,,
134,Adolin Dustbringer,G,L,,,0,S,,,,,QF,1,QF1,,Regular,,,,,,,,
135,Sphinx,,,,,,,,,,Y,QF,1,QF1,,Spec,,,,,,,,
136,Tempus,,,,,,,,Y,,,QF,1,QF1,,GM,,,,,,,,
137,Meta,G,W,1,,2,S,,,,,LG,5,LG5,,Regular,,,,,,,,
138,Mailliw73,,,,,,,,Y,,,LG,5,LG5,,GM,,,,,,,,
139,Claincy,G,W,3,3,1,E,,,,,LG,5,LG5,,Regular,,,,,,,,
140,Gamma,,,,,,,,,,Y,LG,5,LG5,,Spec,,,,,,,,
141,little wilson,,,,,,,,,Y,,LG,5,LG5,,IM,,,,,,,,
142,Peng,,,,,,,,,,Y,LG,5,LG5,,Spec,,,,,,,,
143,Wes,E,L,4,7,3,V,,,,,LG,5,LG5,,Regular,,,,,,,,
144,Alvron,E,L,5,6,2,V,,,,,LG,5,LG5,,Item Cop,,,,,,,,
145,Aonar,G,W,3,3,1,L,,,,,LG,5,LG5,,Regular,,,,,,,,
146,Luckat,G,W,5,,1,S,,,,,LG,5,LG5,,Regular,,,,,,,,
147,Aspren,G,W,,,0,S,,,,,LG,5,LG5,,Regular,,,,,,,,
148,A Joe in the Bush,G,W,4,4,1,E,,,,,LG,5,LG5,,Regular,,,,,,,,
149,18thShard,G,W,2,2,1,L,,,,,LG,5,LG5,,Regular,,,,,,,,
150,Macen,G,W,6,,1,S,,,,,LG,5,LG5,,Regular,,,,,,,,
151,Gleeman,E,L,5,5,1,L,,,,,LG,5,LG5,,Regular,,,,,,,,
152,GreyPilgrim,G,W,4,4,1,L,,,,,LG,5,LG5,,Regular,,,,,,,,
153,Wyrmhero,G,W,4,,1,S,,,,,LG,5,LG5,,Item Cop,,,,,,,,
154,Tulir,G,W,1,1,1,L,,,,,LG,5,LG5,,Inventor,,,,,,,,
155,Sart,G,W,5,5,1,E,,,,,LG,5,LG5,,Regular,,,,,,,,
156,Adolin Dustbringer,G,W,7,7,1,L,,,,,LG,5,LG5,,Thief,,,,,,,,
157,Sphinx,G,W,2,2,1,E,,,,,LG,5,LG5,,Regular,,,,,,,,
158,Jain,G,W,3,3,1,F,,,,,LG,5,LG5,,Regular,,,,,,,,
159,Kasimir,E,L,6,6,1,L,,,,,LG,5,LG5,,Regular,,,,,,,,
160,Theorymaker,G,W,,,0,S,,,,,LG,5,LG5,,Inventor,,,,,,,,
161,Meta,,,,,,,,,Y,,MR,1,MR1,Y,IM,,,,,,,,
162,Mailliw73,F,L,3,3,1,N,,,,,MR,1,MR1,Y,,,,,,,,,
163,Claincy,F,L,7,7,1,L,,,,,MR,1,MR1,Y,,,,,,,,,
164,Gamma,F,W,,,0,S,,,,,MR,1,MR1,Y,,,,,,,,,
165,little wilson,,,,,,,,Y,,,MR,1,MR1,Y,GM,,,,,,,,
166,Peng,F,L,3,3,1,N,,,,,MR,1,MR1,Y,,,,,,,,,
167,Weiry,F,L,2,2,1,N,,,,,MR,1,MR1,Y,,,,,,,,,
168,Wes,F,L,3,3,1,L,,,,,MR,1,MR1,Y,,,,,,,,,
169,Alvron,F,L,4,4,1,L,,,,,MR,1,MR1,Y,,,,,,,,,
170,Aonar,F,W,5,5,1,F,,,,,MR,1,MR1,Y,,,,,,,,,
171,RainbowRose/Cessie,F,L,4,5,1,N,,,,,MR,1,MR1,Y,,,,,,,,,
172,Luckat,F,W,,,0,S,,,,,MR,1,MR1,Y,,,,,,,,,
173,Aspren,,,,,,,,,,Y,MR,1,MR1,Y,Spec,,,,,,,,
174,A Joe in the Bush,,,,,,,,,,Y,MR,1,MR1,Y,Spec,,,,,,,,
175,18thShard,,,,,,,,,,Y,MR,1,MR1,Y,Spec,,,,,,,,
176,Macen,F,L,2,2,1,N,,,,,MR,1,MR1,Y,,,,,,,,,
177,GreyPilgrim,F,L,4,4,1,N,,,,,MR,1,MR1,Y,,,,,,,,,
178,Wyrmhero,F,W,3,5,2,L,,,,,MR,1,MR1,Y,,,,,,,,,
179,Tulir,F,W,6,,1,S,,,,,MR,1,MR1,Y,,,,,,,,,
180,Sart,F,W,5,,1,S,,,,,MR,1,MR1,Y,,,,,,,,,
181,Adolin Dustbringer,F,L,6,6,1,N,,,,,MR,1,MR1,Y,,,,,,,,,
182,Sphinx,F,L,3,3,1,F,,,,,MR,1,MR1,Y,,,,,,,,,
183,Jain,F,L,4,4,2,N,,,,,MR,1,MR1,Y,,,,,,,,,
184,Kasimir,F,L,2,3,4,L,,,,,MR,1,MR1,Y,,,,,,,,,
185,Theorymaker,,,,,,,,,,Y,MR,1,MR1,Y,Spec,,,,,,,,
186,Rubix,,,,,,,,Y,,,MR,1,MR1,Y,GM,,,,,,,,
187,Ashiok,F,L,4,5,1,N,,,,,MR,1,MR1,Y,,,,,,,,,
188,Renegade,F,W,3,,1,S,,,,,MR,1,MR1,Y,,,,,,,,,
189,Feather,F,L,5,7,3,F,,,,,MR,1,MR1,Y,,,,,,,,,
190,Binnut,F,L,6,6,1,N,,,,,MR,1,MR1,Y,,,,,,,,,
191,Twei,F,L,6,6,1,F,,,,,MR,1,MR1,Y,,,,,,,,,
192,dants,F,L,,,0,S,,,,,MR,1,MR1,Y,,,,,,,,,
193,Sir Jerric,F,L,4,4,1,N,,,,,MR,1,MR1,Y,,,,,,,,,
194,jaelre,F,L,7,7,1,N,,,,,MR,1,MR1,Y,,,,,,,,,
195,Meta,,,,,,,,,Y,,LG,6,LG6,,IM,,,,,,,,
196,Mailliw73,G,W,3,3,1,E,,,,,LG,6,LG6,,Action Cop,,,,,,,,
197,Gamma,,,,,,,,Y,,,LG,6,LG6,,GM,,,,,,,,
198,little wilson,G,W,,,0,S,,,,,LG,6,LG6,,Double Life,,,,,,,,
199,Peng,,,,,,,,,,Y,LG,6,LG6,,Spec,,,,,,,,
200,Wes,G,W,1,5,2,E,,,,,LG,6,LG6,,Jack of All Trades,,,,,,,,
201,Alvron,G,W,4,4,1,E,,,,,LG,6,LG6,,Tineye,,,,,,,,
202,Aonar,G,W,7,7,1,E,,,,,LG,6,LG6,,Regular,,,,,,,,
203,Shiv,E,L,7,7,1,L,,,,,LG,6,LG6,,Jack of All Trades,,,,,,,,
204,Leonardus,G,W,4,4,1,E,,,,,LG,6,LG6,,Regular,,,,,,,,
205,Luckat,,,,,,,,,,Y,LG,6,LG6,,Spec,,,,,,,,
206,Aspren,G,W,3,3,1,F,,,,,LG,6,LG6,,Regular,,,,,,,,
207,A Joe in the Bush,G,W,2,2,1,E,,,,,LG,6,LG6,,Regular,,,,,,,,
208,Chid/Newan,G,W,,,0,S,,,,,LG,6,LG6,,Regular,,,,,,,,
209,GreyPilgrim,G,W,4,4,1,L,,,,,LG,6,LG6,,Regular,,,,,,,,
210,Wyrmhero,,,,,,,,,,Y,LG,6,LG6,,Spec,,,,,,,,
211,Tulir,,,,,,,,,,Y,LG,6,LG6,,Spec,,,,,,,,
212,Sart,,,,,,,,,,Y,LG,6,LG6,,Spec,,,,,,,,
213,Adolin Dustbringer,G,W,2,2,1,F,,,,,LG,6,LG6,,Doctor,,,,,,,,
214,Sphinx,G,W,3,3,1,E,,,,,LG,6,LG6,,Kill,,,,,,,,
215,Jain,G,W,2,2,1,L,,,,,LG,6,LG6,,Tineye,,,,,,,,
216,Kasimir,D,L,2,2,1,E,,,,,LG,6,LG6,,Conversion,,,,,,,,
217,Theorymaker,G,W,5,5,1,E,,,,,LG,6,LG6,,Cop,,,,,,,,
218,Ashiok,E,L,8,8,1,L,,,,,LG,6,LG6,,Cop,,,,,,,,
219,Renegade,G,W,1,1,1,L,,,,,LG,6,LG6,,Legionnaire,,,,,,,,
220,Binnut,E,L,5,5,1,L,,,,,LG,6,LG6,,Regular,,,,,,,,
221,Twei,G,W,,,0,S,,,,,LG,6,LG6,,Regular,,,,,,,,
222,Sir Jerric,G,W,6,6,1,E,,,,,LG,6,LG6,,Regular,,,,,,,,
223,jaelre,G,W,2,2,1,E,,,,,LG,6,LG6,,Regular,,,,,,,,
224,Kal Dell,E,L,6,6,1,L,,,,,LG,6,LG6,,Kill,,,,,,,,
225,Lev,G,W,3,3,1,L,,,,,LG,6,LG6,,Regular,,,,,,,,
226,QuiteContrary,G,W,,,0,S,,,,,LG,6,LG6,,Regular,,,,,,,,
227,Meta,,,,,,,,Y,,,QF,2,QF2,,GM,,,,,,,,
228,Mailliw73,G,L,5,5,1,E,,,,,QF,2,QF2,,Regular,,,,,,,,
229,Gamma,,,,,,,,,,Y,QF,2,QF2,,Spec,,,,,,,,
230,little wilson,,,,,,,,,Y,,QF,2,QF2,,IM,,,,,,,,
231,Peng,G,L,1,7,2,L,,,,,QF,2,QF2,,Double Life,,,,,,,,
232,Alvron,G,L,2,2,1,E,,,,,QF,2,QF2,,Regular,,,,,,,,
233,Aonar,G,L,1,1,1,E,,,,,QF,2,QF2,,Regular,,,,,,,,
234,Herowannabe,E,W,,,0,S,,,,,QF,2,QF2,,Double Life,,,,,,,,
235,Shiv,,,,,,,,,,Y,QF,2,QF2,,Spec,,,,,,,,
236,Luckat,G,L,9,9,1,E,,,,,QF,2,QF2,,Misc,,,,,,,,
237,A Joe in the Bush,G,L,4,,1,S,,,,,QF,2,QF2,,Double Life,,,,,,,,
238,Chid/Newan,G,L,,,0,S,,,,,QF,2,QF2,,Regular,,,,,,,,
239,Wyrmhero,G,L,7,8,2,E,,,,,QF,2,QF2,,Double Life,,,,,,,,
240,Tulir,,,,,,,,,,Y,QF,2,QF2,,Spec,,,,,,,,
241,Sart,,,,,,,,,,Y,QF,2,QF2,,Spec,,,,,,,,
242,Jain,G,L,5,8,2,L,,,,,QF,2,QF2,,Double Life,,,investigate role & alignment,Regular,,,Conversion,Convert other players to team
243,Kasimir,G,L,3,3,1,E,,,,,QF,2,QF2,,Regular,Jack of All Trades,,multiple abilities,,,,Protect,Self and others
244,Theorymaker,G,L,6,6,1,E,,,,,QF,2,QF2,,Regular,Writeup Messages,,Send messages via writeup,,,,Doctor,Protect others (no self-protect)
245,Ashiok,,,,,,,,,,Y,QF,2,QF2,,Spec,Kandra,,body-snatch,,,,PM Creator,Makes/Requests PMs
246,Renegade,E,W,9,,1,S,,,,,QF,2,QF2,,Double Life,,,learn alignment,Roleblock,,,Mass PMs,Everyone can make PMs if alive
247,Binnut,,,,,,,,,,Y,QF,2,QF2,,Spec,,,learn role,,,,Steward,Can't die during the night
248,Twei,,,,,,,,,,Y,QF,2,QF2,,Spec,,,learn action performed,,,,Misc,"Misc: Not Regular, but no true powers"
249,Sir Jerric,,,,,,,,,,Y,QF,2,QF2,,Spec,,,learn misc info about target,Cop Protection,,,Tineye,writeup messages and mass PMs if alive
250,jaelre,E,W,,,0,S,,,,,QF,2,QF2,,Regular,,,Learn items,Thief,,Item Manip,Cursed,Convert if attacked by eliminators
251,Kal Dell,G,L,3,4,2,L,,,,,QF,2,QF2,,Double Life,,,Learn target of your target,PM Spy,,,Beggar,Adopt a role from a dead player
252,QuiteContrary,,,,,,,,,,Y,QF,2,QF2,,Spec,,,independent kill ability,Redirect,,,Bodyguard,Protect another and kill attacker
253,Meta,G,W,1,,1,S,,,,,LG,7,LG7,,PM Creator,Legionnaire,,roleblock & all protect,Vote Manip,,,Smoker,Cop & vote manip protection
254,Mailliw73,E,L,6,6,2,V,,,,,LG,7,LG7,,Vote Move,Sacrifice,,Sacrifice self to save another,Self-Protect,,,,
255,Gamma,G,W,,,0,S,,,,,LG,7,LG7,,Jack of All Trades,Inventor,,Create items,,,,,
256,Quiver,,,,,,,,,,Y,LG,7,LG7,,Spec,,Alignment-Switcher,,,,,,
257,little wilson,,,,,,,,,Y,,LG,7,LG7,,IM,,,,,,,,
258,Alvron,,,,,,,,,,Y,LG,7,LG7,,Spec,,,,,,,,
259,Aonar,G,W,,,0,S,,,,,LG,7,LG7,,Vote Cancel,,,,,,,,
260,Shiv,G,W,2,2,1,E,,,,,LG,7,LG7,,Kill,,,,,,,,
261,Luckat,G,W,,,0,S,,,,,LG,7,LG7,,Smoker,,,,,,,,
262,A Joe in the Bush,G,W,4,5,2,F,,,,,LG,7,LG7,,Smoker,,,,,,,,
263,Chid/Newan,E,L,4,4,1,L,,,,,LG,7,LG7,,Vote Cancel,,,,,,,,
264,Wyrmhero,,,,,,,,Y,,,LG,7,LG7,,GM,,,,,,,,
265,Tulir,G,W,3,3,1,L,,,,,LG,7,LG7,,Vote Move,,,,,,,,
266,Sart,E,L,6,6,1,L,,,,,LG,7,LG7,,Kill,,,,,,,,
267,Jain,G,W,5,5,1,L,,,,,LG,7,LG7,,Role Cop,,,,,,,,
268,Kasimir,G,W,5,6,2,E,,,,,LG,7,LG7,,Protect,,,,,,,,
269,Theorymaker,G,W,1,3,2,E,,,,,LG,7,LG7,,Double Life,,,,,,,,
270,Ashiok,G,W,1,,1,S,,,,,LG,7,LG7,,Kill,,,,,,,,
271,Renegade,G,W,4,4,1,E,,,,,LG,7,LG7,,PM Creator,,,,,,,,
272,Binnut,,,,,,,,,,Y,LG,7,LG7,,Spec,,,,,,,,
273,Twei,E,L,1,2,2,L,,,,,LG,7,LG7,,PM Creator,,,,,,,,
274,Sir Jerric,,,,,,,,,,Y,LG,7,LG7,,Spec,,,,,,,,
275,jaelre,G,W,,,0,S,,,,,LG,7,LG7,,Vote Move,,,,,,,,
276,Kal Dell,G,W,,,0,S,,,,,LG,7,LG7,,Jack of All Trades,,,,,,,,
277,QuiteContrary,G,W,1,1,1,E,,,,,LG,7,LG7,,Vote Move,,,,,,,,
278,Araris Valerian,G,W,5,,1,S,,,,,LG,7,LG7,,Double Life,,,,,,,,
279,ScottLeft,G,W,,,0,S,,,,,LG,7,LG7,,Protect,,,,,,,,
280,Meta,E,L,3,3,1,L,,,,,MR,2,MR2,Y,Kill,,,,,,,,
281,Mailliw73,G,W,,,0,S,,,,,MR,2,MR2,Y,Regular,,,,,,,,
282,Gamma,G,W,3,,1,S,,,,,MR,2,MR2,Y,Alignment Cop,,,,,,,,
283,little wilson,,,,,,,,,Y,,MR,2,MR2,Y,IM,,,,,,,,
284,Alvron,G,W,,,0,S,,,,,MR,2,MR2,Y,Regular,,,,,,,,
285,Aonar,G,W,,,0,S,,,,,MR,2,MR2,Y,Regular,,,,,,,,
286,Luckat,G,W,,,0,S,,,,,MR,2,MR2,Y,Regular,,,,,,,,
287,A Joe in the Bush,E,L,2,2,1,L,,,,,MR,2,MR2,Y,Regular,,,,,,,,
